region;code_de_la_region;nom_du_departement;code_du_departement;geo_point_2d;geo_shape
Occitanie;76;Aveyron;12;44.49320891834749, 2.1735124647658743;"{""coordinates"": [[2.158557488754061, 44.48240865576577, -5.1376409829e-05], [2.188467440777688, 44.50400918092922, 471.46294858679175]], ""type"": ""LineString""}"
Occitanie;76;Ariège;9;43.10093552894199, 1.6438241597665715;"{""coordinates"": [[1.629097419253204, 43.12664808585078, 290.1099511003122], [1.658550900279939, 43.07522297203319, 323.96995119564235]], ""type"": ""LineString""}"
Occitanie;76;Aude;11;43.037117085188434, 2.222355202213726;"{""coordinates"": [[2.222379872104248, 43.03711551719379, 310.6469512647018], [2.222330532323204, 43.03711865318308, 311.55345126613975]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.84039361962172, -0.2370438410989081;"{""coordinates"": [[-0.221274449695568, 43.78363313006262, 121.30194990057498], [-0.252813232502248, 43.89715410918082, 82.19094969332218]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;44.67014430227892, -0.8325001505317976;"{""coordinates"": [[-0.819085274713592, 44.656213276670236, 51.98294830415398], [-0.845915026350003, 44.684075327887605, 54.13294825423509]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.42025976652574, -0.646942183207124;"{""coordinates"": [[-0.647099823946877, 43.42008113357019, 88.27795056533068], [-0.646784542467371, 43.420438399481284, 90.47495056409389]], ""type"": ""LineString""}"
Occitanie;76;Gers;32;43.69523301345709, 0.2417126176573233;"{""coordinates"": [[0.156588157201468, 43.715441139944176, 215.22695002611727], [0.186528095916031, 43.69797048355926, 185.3199500599876], [0.330566382344319, 43.6869894035911, 143.64795007836074]], ""type"": ""LineString""}"
Auvergne-Rhône-Alpes;84;Cantal;15;44.692685729286865, 2.2302517618810094;"{""coordinates"": [[2.248397079176399, 44.68299791932109, -286.0052517428994], [2.21210644458562, 44.70237353925263, -5.1779672503e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;44.67069361467054, -0.48221334044619163;"{""coordinates"": [[-0.481847165083188, 44.67061171767888, 11.270948278717697], [-0.482579515809195, 44.67077551166221, 11.421948280185461]], ""type"": ""LineString""}"
Occitanie;76;Aude;11;43.1531743333791, 2.829609790005913;"{""coordinates"": [[2.715909473698666, 43.16443083616689, 79.23195103090256], [2.774922115169248, 43.165201802240304, 61.04995102901012], [2.879572979626473, 43.13884443478144, 69.49095107801259], [2.942686375638486, 43.1499375221486, 141.22095105797052]], ""type"": ""LineString""}"
Occitanie;76;Gers;32;43.788340400825334, -0.09738881369185438;"{""coordinates"": [[-0.097401390403813, 43.7883333326644, 133.7099498929456], [-0.097376236979896, 43.788347468986274, 133.70994989201427]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.747028440102696, 1.483331318038939;"{""coordinates"": [[1.483193858800065, 43.74687044335379, 151.14364996738732], [1.483468777277813, 43.7471864368516, 155.93994996789843]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Lot-et-Garonne;47;44.23135395735239, 0.34514626557853667;"{""coordinates"": [[0.34712496362625, 44.23158468143782, -5.0918199122e-05], [0.343167567530823, 44.231123233266956, -5.0916336477e-05]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.090604295546036, 0.9313993969960936;"{""coordinates"": [[0.945753956219049, 43.102232548952486, 348.81895114667714], [0.917044837773138, 43.07897604213959, 376.36155119072646]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.155710170026, -0.49405088205518527;"{""coordinates"": [[-0.494006157615179, 43.15557146101607, -705.5200489480048], [-0.494095606495192, 43.155848879035915, -4.8954039812e-05]], ""type"": ""LineString""}"
Occitanie;76;Hautes-Pyrénées;65;43.01694359669462, 0.6105827740078628;"{""coordinates"": [[0.61073018249812, 43.017118472334715, 443.9969513025135], [0.610435365517605, 43.016768721054525, 447.5889513036236]], ""type"": ""LineString""}"
Occitanie;76;Ariège;9;43.0833351161619, 1.9087009892698923;"{""coordinates"": [[1.90871325852347, 43.08340884838194, -4.8819929361e-05], [1.908688720016315, 43.08326138394185, -4.8818998039e-05]], ""type"": ""LineString""}"
Occitanie;76;Gers;32;43.58163627726902, 0.4171953282472748;"{""coordinates"": [[0.417162104486702, 43.58160021582191, 137.30095027107745], [0.417228552007848, 43.58167233871611, 139.0969502683729]], ""type"": ""LineString""}"
Occitanie;76;Hautes-Pyrénées;65;43.24124346545453, -0.011890484527365955;"{""coordinates"": [[0.005825194519288, 43.22634717805313, 327.07095091883093], [0.001787291364459, 43.2420512877843, 311.77395089156926], [-0.038225213228436, 43.246115713633614, 404.79295088350773]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.77326126267204, -0.4889682231362156;"{""coordinates"": [[-0.489005994847673, 43.77332240219635, 48.64894992019981], [-0.488930451424758, 43.773200123147724, 48.61794991977513]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;44.27167323874666, -0.24064817759617507;"{""coordinates"": [[-0.240433605593482, 44.271931883494375, 105.7259490089491], [-0.240862749598868, 44.27141459399894, 106.61794900987297]], ""type"": ""LineString""}"
Occitanie;76;Gers;32;43.61363796282576, 0.6338735054304988;"{""coordinates"": [[0.633912514108868, 43.61367582266537, 199.49995021056384], [0.633834496752129, 43.613600102986155, 201.8699502106756]], ""type"": ""LineString""}"
Occitanie;76;Hautes-Pyrénées;65;43.2896130171725, 0.0634519754719858;"{""coordinates"": [[0.063614696888, 43.289507451125395, 270.8219508025795], [0.063289254055972, 43.28971858321959, 270.80995080340654]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;44.60093119525234, -0.5489265863887343;"{""coordinates"": [[-0.541605420585616, 44.60055900120857, 45.896848406642675], [-0.556247752191852, 44.60130338929612, 45.90994840487838]], ""type"": ""LineString""}"
Occitanie;76;Hautes-Pyrénées;65;43.28408210166702, 0.06592062297288134;"{""coordinates"": [[0.068226549057763, 43.27865675220864, 277.69695082493126], [0.063614696888, 43.289507451125395, 270.8119508018717]], ""type"": ""LineString""}"
Occitanie;76;Tarn-et-Garonne;82;43.99102392218139, 1.3088367432735297;"{""coordinates"": [[1.299891841048909, 43.96869478643618, 99.86294956319034], [1.306270520528535, 43.99848554498562, 83.34194950852543], [1.327410436279999, 44.004237191874026, 83.88794949837029]], ""type"": ""LineString""}"
Occitanie;76;Aude;11;43.08487928570127, 2.9396487086741234;"{""coordinates"": [[2.942424775482957, 43.149850576029344, 141.48495105747133], [2.957282595661394, 43.13555268467448, 65.35845108609647], [2.923760306591179, 43.0703872443464, 63.242951202206314], [2.946351921500638, 43.01507859688728, 63.18795130588114]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Lot-et-Garonne;47;44.39164024244744, 0.8496012881967177;"{""coordinates"": [[0.849757449421939, 44.391601751315164, -5.121063441e-05], [0.849445126971496, 44.39167873357972, -5.1211565733e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.54352632026867, -0.9988343919841816;"{""coordinates"": [[-0.998933075415483, 43.543323730766005, 13.671950340270996], [-0.99873570855288, 43.54372890977134, 14.88595033902675]], ""type"": ""LineString""}"
Occitanie;76;Pyrénées-Orientales;66;42.50247997727183, 2.7544216236905257;"{""coordinates"": [[2.754504827207978, 42.502579469769586, -4.7762878239e-05], [2.754338420173074, 42.50238048477407, -4.7760084271e-05]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.57437193314871, 1.2812167483116117;"{""coordinates"": [[1.281174392947242, 43.574429485723286, 189.79395028296858], [1.281259103675981, 43.574314380574144, 191.06095028389245]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;44.34574958928261, -1.0706366175651887;"{""coordinates"": [[-1.070576605857891, 44.34586125780435, 28.808948872610927], [-1.070696629272486, 44.34563792076087, 31.318948874250054]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.387134191438605, -1.5834668070246383;"{""coordinates"": [[-1.58360961661842, 43.38721767388248, -4.9374997616e-05], [-1.583323997430856, 43.38705070899473, -4.9375928938e-05]], ""type"": ""LineString""}"
Occitanie;76;Gers;32;43.68565142022318, -0.16205731063963164;"{""coordinates"": [[-0.16202605087068, 43.68568287897349, 99.35675008036196], [-0.162088570408583, 43.68561996147287, 99.64595007896423]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;45.00644948233362, -0.5621468573187032;"{""coordinates"": [[-0.562021934690897, 45.006543084980564, 0.092747665941715], [-0.562271779946509, 45.00635587968669, 5.018947665579617]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.63125353521366, -0.8025161799918543;"{""coordinates"": [[-0.709845898948591, 43.65368578320778, 77.749950138852], [-0.765493991426653, 43.647854198130396, 33.54395014885813], [-0.892731108966313, 43.59864371229119, 67.76795023772866]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;44.59267023802442, -0.08379006044392498;"{""coordinates"": [[-0.102471250229877, 44.59683385883277, 71.85694841202348], [-0.065108870657973, 44.58850661721607, 72.2629484301433]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.65340208834129, -0.709433575108472;"{""coordinates"": [[-0.709831875851809, 43.653608836266486, -4.9860216677e-05], [-0.709035274365135, 43.65319534041609, -4.9859285355e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.656952736557884, -0.5629592959755205;"{""coordinates"": [[-0.54499601946549, 43.65441989874561, 130.83695013821125], [-0.580922572485551, 43.65948557437016, 127.56495012715459]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.12296145542078, 0.7310275402679245;"{""coordinates"": [[0.730887224301175, 43.123049192582236, -4.8893503845e-05], [0.731167856234674, 43.122873718259314, -4.8892572522e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Lot-et-Garonne;47;44.21871750750621, 0.48122784181936173;"{""coordinates"": [[0.481191176342133, 44.21863259295892, -5.0894916058e-05], [0.48126450729659, 44.21880242205351, -5.0894916058e-05]], ""type"": ""LineString""}"
Occitanie;76;Pyrénées-Orientales;66;42.51838478729037, 2.7932683446468225;"{""coordinates"": [[2.832004044487502, 42.534162860695716, 98.71595218311995], [2.754532644806143, 42.50260671388503, 140.39495223853737]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.670971130308, 1.399191213941958;"{""coordinates"": [[1.398865114730012, 43.67112713791073, -4.989374429e-05], [1.399517313153905, 43.670815122705264, -4.9894675612e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Lot-et-Garonne;47;44.32864651260279, 0.7557132262836154;"{""coordinates"": [[0.7558923688411, 44.3285804279816, -5.1095150411e-05], [0.755534083726131, 44.32871259722398, -5.1095150411e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.251988617442564, -0.35929472604501966;"{""coordinates"": [[-0.331110489387671, 43.26457390333173, 195.7849508477375], [-0.387478962702368, 43.239403331553405, 190.62495089601725]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.710263590478164, 1.3876822692820947;"{""coordinates"": [[1.387857720548405, 43.71014057805913, 120.61175003554672], [1.387506818015784, 43.710386602897195, 122.49795003328472]], ""type"": ""LineString""}"
Occitanie;76;Hautes-Pyrénées;65;43.18106923038707, 0.241811835674283;"{""coordinates"": [[0.241767966521891, 43.18101422010811, 260.4979510018602], [0.241855704826675, 43.18112424066602, 262.3509510019794]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.6800004866174, -1.0522982582241518;"{""coordinates"": [[-1.050987575992842, 43.70311810821557, 16.61295004747808], [-1.053608940455462, 43.65688286501923, 21.695950131863356]], ""type"": ""LineString""}"
Occitanie;76;Hautes-Pyrénées;65;43.22499044499046, -0.0021450633746326973;"{""coordinates"": [[-0.002070495168074, 43.22491473156913, 326.018950923346], [-0.002219631581191, 43.2250661584118, 328.18795092217624]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;44.10838110694169, -0.27420301761837484;"{""coordinates"": [[-0.274426483915919, 44.10800601226708, -5.0692819059e-05], [-0.273979551320831, 44.1087562016163, -5.0693750381e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;44.81346387495416, -0.6776103987434687;"{""coordinates"": [[-0.681768648285953, 44.811719003616126, 47.71294802147895], [-0.673452149200985, 44.81520874629219, 43.55184801388532]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.843010474184894, -0.9771685347967419;"{""coordinates"": [[-0.98534953630144, 43.848965796071035, 62.79994978103787], [-0.968987533292044, 43.837055152298745, 62.34894980303943]], ""type"": ""LineString""}"
Occitanie;76;Hautes-Pyrénées;65;43.27888410909648, 0.06459695750299428;"{""coordinates"": [[0.060983264653335, 43.27912541805139, 276.84895082283765], [0.068210650352654, 43.27864280014156, 277.6689508249983]], ""type"": ""LineString""}"
Occitanie;76;Gers;32;43.63604823347635, 0.5316137823549236;"{""coordinates"": [[0.471468386892844, 43.65187203128194, 162.3249501409009], [0.591759177817003, 43.620224435670764, 145.4509501978755]], ""type"": ""LineString""}"
Occitanie;76;Tarn-et-Garonne;82;43.95260196412458, 1.1602856456240735;"{""coordinates"": [[1.16045159054356, 43.95264031965749, -5.0408765674e-05], [1.160119700704588, 43.95256360859168, -5.0407834351e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.60269915964716, -1.0592953249032309;"{""coordinates"": [[-1.053658570644663, 43.656804366725765, 21.689950133673847], [-1.055158053644286, 43.58729613803208, 31.194950259290636], [-1.079724836834784, 43.55358983483977, 47.46795032080263]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Lot-et-Garonne;47;44.29485242809806, 0.27188898089277896;"{""coordinates"": [[0.267733480564618, 44.29278871749002, 50.07194896880537], [0.27604448122094, 44.2969161387061, 46.932948963716626]], ""type"": ""LineString""}"
Occitanie;76;Ariège;9;42.98477855533088, 1.1388371729886957;"{""coordinates"": [[1.138921980901519, 42.98479887799076, -4.8641115427e-05], [1.138752365075873, 42.98475823267099, -4.8641115427e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.781522272908866, -0.21742181293715263;"{""coordinates"": [[-0.218232623811936, 43.78123998513792, 133.67594990506768], [-0.216611002062369, 43.78180456067981, 135.41394990310073]], ""type"": ""LineString""}"
Occitanie;76;Hautes-Pyrénées;65;42.969633727181716, -0.06844684945239171;"{""coordinates"": [[-0.068499313930688, 42.96954226334525, -4.861317575e-05], [-0.068394384974096, 42.969725191018185, -4.8612244427e-05]], ""type"": ""LineString""}"
Occitanie;76;Aude;11;43.25760323037356, 2.006986817523834;"{""coordinates"": [[2.007049120042011, 43.25746796590659, -4.9138441682e-05], [2.006924515005656, 43.257738494840524, -4.9139373004e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.41476776471281, -0.6424479839578607;"{""coordinates"": [[-0.642267229781837, 43.41498381509636, -4.942715168e-05], [-0.642628738133884, 43.414551714329264, 91.13995057437569]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;44.14363901475534, -0.2702423891798568;"{""coordinates"": [[-0.270108495701405, 44.143913579355264, -5.0757080317e-05], [-0.270376282658308, 44.1433644501554, -5.0757080317e-05]], ""type"": ""LineString""}"
Occitanie;76;Aveyron;12;44.013344787363, 3.124891662527204;"{""coordinates"": [[3.124883311007165, 44.01332381342348, 779.2759494865313], [3.124900014047244, 44.01336576130254, 779.5129494862631]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.30307649005205, -0.30603410491782645;"{""coordinates"": [[-0.305920012715141, 43.303078199435795, -4.9221329391e-05], [-0.306148197120512, 43.3030747806683, -4.9222260714e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Lot-et-Garonne;47;44.30942357176596, 0.18019868643261017;"{""coordinates"": [[0.180388419573019, 44.30951091310531, -5.1060691476e-05], [0.180008953292202, 44.30933623042662, -5.1060691476e-05]], ""type"": ""LineString""}"
Occitanie;76;Tarn;81;43.92891392869652, 2.111692749062761;"{""coordinates"": [[2.111656176282702, 43.92887099783551, 147.8289496358484], [2.111729321842819, 43.92895685955752, 149.21394963469356]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.37477473820002, 1.7551921096670493;"{""coordinates"": [[1.671417838750878, 43.408815142732905, 167.54795058537275], [1.838966380583221, 43.340734333667136, 190.31395070906729]], ""type"": ""LineString""}"
Occitanie;76;Aude;11;43.224661764079954, 2.3199812682626186;"{""coordinates"": [[2.320131422992096, 43.22460922586293, -4.9078837037e-05], [2.319831113533142, 43.22471430229698, -4.9077905715e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.34163129571077, -1.7287260242357099;"{""coordinates"": [[-1.752602467552176, 43.33928884144248, -14.400049287825823], [-1.704849580919243, 43.343973749979064, 63.80295070447028]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.618590726800655, 1.3132488765573362;"{""coordinates"": [[1.280593474052734, 43.59988094548317, 164.91495023854077], [1.345904279061938, 43.63730050811814, 151.4049501689151]], ""type"": ""LineString""}"
Occitanie;76;Gers;32;43.91678582444176, 0.6244645706336767;"{""coordinates"": [[0.62451783662145, 43.91682395172072, 87.8099496550858], [0.624411304645903, 43.916747697162805, 88.0319496570155]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;44.844708071859785, -0.6852739056957369;"{""coordinates"": [[-0.688773376134635, 44.87770756209433, 28.10294790007174], [-0.681774435256839, 44.81170858162525, 48.764948018826544]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;44.13816304827981, -0.2815586034356893;"{""coordinates"": [[-0.281895194833526, 44.13819155257221, -5.0746835768e-05], [-0.281222012037852, 44.138134543987405, -5.0747767091e-05]], ""type"": ""LineString""}"
Occitanie;76;Gers;32;43.76198409017256, -0.19036888233740437;"{""coordinates"": [[-0.190386769953846, 43.76197518199069, 131.6699499413371], [-0.190350994720963, 43.76199299835444, 133.2899499423802]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.83700101886636, -0.9689320743998971;"{""coordinates"": [[-0.968962070218059, 43.83705093456232, 62.28694980312139], [-0.968902078581735, 43.836951103170406, 62.210949804633856]], ""type"": ""LineString""}"
Occitanie;76;Aude;11;43.187867351984735, 2.5270442179840655;"{""coordinates"": [[2.527853885312831, 43.18824356901057, -4.9011781812e-05], [2.5262345506553, 43.18749113495891, -4.9009919167e-05]], ""type"": ""LineString""}"
Occitanie;76;Ariège;9;43.01327549722679, 1.059398237206676;"{""coordinates"": [[0.988421480366899, 43.043351671185484, 321.83495125360787], [0.993077089352728, 43.02932853834571, 383.3929512798786], [1.091714452259232, 43.00925015928877, 389.17795131728053], [1.13378618076691, 42.98026291252256, 413.2659513698891]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.82374818794666, -0.8095772804919495;"{""coordinates"": [[-0.809589342574555, 43.82375716629436, 41.71034982800484], [-0.809565218409344, 43.82373920959896, 43.18094982765615]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.4791215950366, 2.0097032392086027;"{""coordinates"": [[2.009576513586065, 43.478952234221055, -4.9543567002e-05], [2.00982996483114, 43.47929095585214, -4.9543567002e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.435269769497395, -1.4620146493050952;"{""coordinates"": [[-1.51471496858761, 43.42226273479221, 53.6439505610615], [-1.479841226728199, 43.4386446969431, 3.988950531929731], [-1.406928625126277, 43.43698349622967, 94.02395053394139]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.53154325860976, -0.511747893988646;"{""coordinates"": [[-0.511214801822396, 43.53190896777971, -4.9638561904e-05], [-0.512280986154896, 43.53117754943982, -4.9637630582e-05]], ""type"": ""LineString""}"
Occitanie;76;Tarn-et-Garonne;82;43.96478500720756, 1.2357526977494901;"{""coordinates"": [[1.160459184783065, 43.95267692761889, 153.60094959288836], [1.226602036943761, 43.956276338482965, 94.43694958463311], [1.308428370629132, 43.98880308442087, 93.07794952671975]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.406790151597434, 1.2708963287981159;"{""coordinates"": [[1.270892625907351, 43.40671805008054, 188.84195058885962], [1.270900031688881, 43.40686225311432, 193.14895058888942]], ""type"": ""LineString""}"
Occitanie;76;Hautes-Pyrénées;65;43.18000060207648, 0.008788065393684546;
Occitanie;76;Hautes-Pyrénées;65;43.16561817138328, -0.019573296027518984;"{""coordinates"": [[-0.020022781579994, 43.16559993047992, -4.8970803618e-05], [-0.019123810475044, 43.16563641228664, -4.8971734941e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.40530096505974, -1.4601194023866682;"{""coordinates"": [[-1.46033394109309, 43.40585769252966, 2.931650590151548], [-1.459904863680246, 43.40474423758982, 12.830950592644513]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;44.67332976732769, -0.1896129297956083;"{""coordinates"": [[-0.189427983335249, 44.673471934705965, -5.1725655794e-05], [-0.189797876255967, 44.6731875999494, -5.1725655794e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;44.93208804004874, -0.4486548322594203;"{""coordinates"": [[-0.448563443027502, 44.93232041146113, -5.2199698985e-05], [-0.448746221491339, 44.93185566863636, -5.2198767662e-05]], ""type"": ""LineString""}"
Occitanie;76;Aude;11;43.260026702983566, 2.8289531849684324;"{""coordinates"": [[2.829097343543152, 43.25989433852505, -4.914123565e-05], [2.828809026393714, 43.26015906744209, -4.9142166972e-05]], ""type"": ""LineString""}"
Occitanie;76;Pyrénées-Orientales;66;42.6138129536347, 2.8726483965512823;"{""coordinates"": [[2.872661795561448, 42.613699624172604, -4.7964043915e-05], [2.872634997541117, 42.613926283096795, -4.7963112593e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.33847436517985, -0.38288115023320024;"{""coordinates"": [[-0.382776436256815, 43.33856892566011, -4.9286521971e-05], [-0.382985864209585, 43.33837980469958, -4.9286521971e-05]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.45317432511715, 1.2540729078684272;"{""coordinates"": [[[1.284757537406778, 43.43297541135725, 186.01295054145157], [1.304388319000128, 43.42728587258813, 175.8399505522102]], [[1.231975795581279, 43.46825932317023, 184.20775047689676], [1.236620029274034, 43.45089534733803, 189.05695050768554], [1.284689198970296, 43.4329946690866, 185.48695054091513]], [[1.23197579558128, 43.46825932317023, 184.40455047693104], [1.231975697245041, 43.468263646512156, 184.2841504784301]], [[1.223854860895275, 43.49821785564562, 179.23595042154193], [1.231975697245041, 43.46826364651215, 184.4409504774958]], [[1.284689198970296, 43.4329946690866, 185.48695054091513], [1.284757537406778, 43.43297541135725, 186.01295054145157]], [[1.231975697245041, 43.46826364651215, 184.4409504774958], [1.231975768705148, 43.46826272887419, 184.46295047737658]], [[1.231975697245041, 43.468263646512156, 184.2841504784301], [1.231975768705148, 43.46826272887419, 184.23325047735125]], [[1.231975768705148, 43.46826272887419, 184.23325047735125], [1.231975795581279, 43.46825932317023, 184.20775047689676]], [[1.231975768705148, 43.46826272887419, 184.46295047737658], [1.23197579558128, 43.46825932317023, 184.40455047693104]]], ""type"": ""MultiLineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.77976715132749, -0.22247712158893443;"{""coordinates"": [[-0.222768321515365, 43.77946222691677, -5.0091184676e-05], [-0.222185921662504, 43.78007207573822, -5.0092115998e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;44.81165868669932, -0.6816949178519962;"{""coordinates"": [[-0.681794300715392, 44.81167845643084, -5.1978975534e-05], [-0.6815955349886, 44.8116389169678, -5.1978975534e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.7813589067259, -0.2216250899366385;"{""coordinates"": [[-0.221295538504432, 43.781224684869855, 127.82194990571588], [-0.221954641368845, 43.78149312858194, 119.48494990635663]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.78005071205396, -0.22331313463057045;"{""coordinates"": [[-0.222207626097159, 43.78094780292733, 123.88594990689307], [-0.224418643163982, 43.779153621180605, 124.19294990971684]], ""type"": ""LineString""}"
Occitanie;76;Tarn-et-Garonne;82;44.02099309637295, 1.0739322734898442;"{""coordinates"": [[1.074069355355707, 44.02087872400726, -5.0533562899e-05], [1.073795191623981, 44.02110746873862, -5.0532631576e-05]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.357158406063675, 1.2242602831855844;"{""coordinates"": [[1.224231390971929, 43.35708030642078, -4.9320980906e-05], [1.22428917539924, 43.357236505706574, -4.9320049584e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;42.9861796782491, -0.9917002641928107;"{""coordinates"": [[-0.99166110651318, 42.98610082704412, -4.864204675e-05], [-0.991739421872442, 42.986258529454076, -4.8643909395e-05]], ""type"": ""LineString""}"
Occitanie;76;Tarn;81;43.99624096868149, 2.12390727123387;"{""coordinates"": [[2.123832800293891, 43.99622596742628, 312.1911495132372], [2.123981742173849, 43.9962559699367, 315.4769495120272]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.56151709424165, 1.1769685162644854;"{""coordinates"": [[1.178096238877887, 43.56427651398785, 207.1539503019303], [1.175840793651084, 43.558757674495446, 205.88495031185448]], ""type"": ""LineString""}"
Occitanie;76;Pyrénées-Orientales;66;42.75305882977447, 2.952784252168521;"{""coordinates"": [[2.952842540926591, 42.75317027992477, -4.8217363656e-05], [2.952725963410451, 42.75294737962417, -4.8217363656e-05]], ""type"": ""LineString""}"
Occitanie;76;Hautes-Pyrénées;65;43.090364188685534, 0.3823540130927017;"{""coordinates"": [[0.382387807761171, 43.090389208611455, 642.0789511688054], [0.382320218424232, 43.09033916875961, 642.2439511707053]], ""type"": ""LineString""}"
Occitanie;76;Tarn;81;43.56183367377008, 2.23177269020554;"{""coordinates"": [[2.231624331255188, 43.56182666800188, -4.9693509936e-05], [2.231921049155893, 43.561840679538285, -4.9692578614e-05]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.10542995263805, 0.8603680533304854;"{""coordinates"": [[0.860249820280268, 43.105427616314714, -4.8860907555e-05], [0.860486286380703, 43.105432288961374, -4.8860907555e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.78095101423226, -0.22206064222553598;"{""coordinates"": [[-0.221419833626507, 43.78099636701571, 128.00394990574569], [-0.222701450824565, 43.780905661448806, 123.19594990555197]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.78100066905035, -0.22249012371844498;"{""coordinates"": [[-0.222554658037989, 43.78118045212836, 119.23094990476966], [-0.222425589398901, 43.78082088597234, 122.51894990634173]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.26525059794102, -0.2739479693373834;"{""coordinates"": [[-0.249756399506599, 43.28560980783948, 262.11595081165433], [-0.298139539168168, 43.24489138804257, 214.10195088479668]], ""type"": ""LineString""}"
