region;code_de_la_region;nom_du_departement;code_du_departement;geo_point_2d;geo_shape
Occitanie;76;Haute-Garonne;31;43.656743061557194, 1.360427835120709;"{""coordinates"": [[1.358486973612095, 43.66190997253092, 141.20595012418926], [1.362368696629323, 43.65157615058347, 147.0809501418844]], ""type"": ""LineString""}"
Occitanie;76;Aude;11;43.341004781734874, 1.8363276775946722;"{""coordinates"": [[1.838942684136896, 43.34071902659811, 189.9749507084489], [1.833712671052449, 43.34129053687164, 193.2679507099092]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;45.0100307582729, -0.5447887103590316;"{""coordinates"": [[-0.551020318969279, 45.007784682607905, 0.503447660245001], [-0.538557101748784, 45.012276833937904, 3.177947654388845]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.11625461127173, -0.8786976623764382;"{""coordinates"": [[-0.878830079639997, 43.11626360409517, 216.0196511214599], [-0.87856524511288, 43.11624561844829, 216.35595112014562]], ""type"": ""LineString""}"
Occitanie;76;Tarn;81;43.94228648416424, 2.1308901740257085;"{""coordinates"": [[2.132471787450822, 43.93499249686378, 153.43194962386042], [2.129308560600595, 43.9495804714647, 146.7879495965317]], ""type"": ""LineString""}"
Occitanie;76;Tarn-et-Garonne;82;43.87165107498077, 1.2701016963034557;"{""coordinates"": [[1.270023854968613, 43.8716052347447, 103.74294973909855], [1.270179537638298, 43.87169691521685, 104.49294973816723]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Lot-et-Garonne;47;44.2186347759728, 0.481879694154676;"{""coordinates"": [[0.481745064064265, 44.21843140337718, 39.96414910629392], [0.482014324245087, 44.21883814856843, 41.74494910426438]], ""type"": ""LineString""}"
Occitanie;76;Tarn;81;43.60040912775839, 2.2522687886541846;"{""coordinates"": [[2.252208170467632, 43.6004260633179, 175.81795023474842], [2.252329406840738, 43.60039219219888, 176.1629502363503]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.44337079639791, -0.6079140883397884;"{""coordinates"": [[-0.60794439565042, 43.44354593348246, -4.9478374422e-05], [-0.607883781029157, 43.44319565931335, -4.9476511776e-05]], ""type"": ""LineString""}"
Occitanie;76;Aude;11;43.33745601576317, 1.850273579035837;"{""coordinates"": [[1.838967002017293, 43.34073383560972, 190.29695071000606], [1.861580156054381, 43.334178195916614, 198.6679507214576]], ""type"": ""LineString""}"
Occitanie;76;Tarn-et-Garonne;82;44.221849835123415, 1.7147943136168875;"{""coordinates"": [[1.633122759012469, 44.17929088168454, 184.54894917830825], [1.676273210335331, 44.191209946732094, 292.50994915515184], [1.791091498487796, 44.27549583278846, 318.0869490019977]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.613675138165334, 1.3049970337856152;"{""coordinates"": [[1.296191613005379, 43.61528770461353, 156.10295020788908], [1.313802454565851, 43.612062571717146, 182.20995021332055]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.52674689435764, 1.2007766239528652;"{""coordinates"": [[1.200941332279246, 43.52698014904016, -4.9630180001e-05], [1.200611915626484, 43.52651363967513, 211.72895037010312]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Lot-et-Garonne;47;44.485440817376826, 0.9458169807922291;"{""coordinates"": [[0.949440961285552, 44.482525633420735, 64.8219486232847], [0.942193000298906, 44.48835600133292, 78.30294861178845]], ""type"": ""LineString""}"
Occitanie;76;Aveyron;12;44.00411385802642, 3.0255514456201964;"{""coordinates"": [[2.934952944014883, 43.984965212028705, 561.5299495365471], [2.963451877440972, 43.97912797760451, 478.7499495455995], [2.971772437262526, 43.99824270895493, 408.5299495086074], [3.020184777695649, 44.01222970831179, 580.6299494868144], [3.124882068948655, 44.0133238283411, 779.3499494865537]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Lot-et-Garonne;47;44.3927547362013, 0.7471002769269675;"{""coordinates"": [[0.747224243307358, 44.39250360895932, 67.28794878534973], [0.746976310546577, 44.39300586344327, 69.940948786214]], ""type"": ""LineString""}"
Occitanie;76;Aude;11;42.99849136696181, 2.231387791068488;"{""coordinates"": [[2.222272102486786, 43.05792669899007, 171.87495122663677], [2.240503479650189, 42.93905603493354, 233.416951444]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.86063572114235, -0.8641465239175502;"{""coordinates"": [[-0.828272805306867, 43.84045368196063, 22.222949797287583], [-0.861778130085113, 43.843865162953506, 35.06194979138672], [-0.887913373533258, 43.89808318419851, 64.81194969080389]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Lot-et-Garonne;47;44.38000368514115, 0.8081690348854762;"{""coordinates"": [[0.80813210256335, 44.3800680074082, 78.56294881086797], [0.808205967207603, 44.37993936287409, 80.54294881038368]], ""type"": ""LineString""}"
Occitanie;76;Tarn;81;44.058781867405244, 2.137676555785883;"{""coordinates"": [[2.146113697776586, 44.05549523125607, 228.57894940394908], [2.12923941379518, 44.06206850355443, 223.8949493933469]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.465378284609365, 1.9806737928021398;"{""coordinates"": [[1.980606453160651, 43.465266959299825, 201.59295048285276], [1.980741132443629, 43.465489609918905, 202.08995048236102]], ""type"": ""LineString""}"
Occitanie;76;Pyrénées-Orientales;66;42.61369582164656, 2.8726266337158277;"{""coordinates"": [[2.872656106882371, 42.613662660151995, 48.131452036090195], [2.872597160549283, 42.61372898314112, 47.469952035695314]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.46525249826598, 2.0067229053399567;"{""coordinates"": [[2.00706058655527, 43.46526129584922, -4.9518421292e-05], [2.006385224124644, 43.46524370068275, -4.951748997e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.47930425276552, -0.6069237730133612;"{""coordinates"": [[-0.632048659191868, 43.417862337058025, 95.13895056955516], [-0.581798886834854, 43.54074616847302, 152.06695034448057]], ""type"": ""LineString""}"
